jockey,jockey_starts,jockey_siegrate
Voher:Nina BaltromeiDavid Liska,0.0,0.0
Voher:Nina BaltromeiMichaela Malacova,0.0,0.0
Voher:Nina BaltromeiMiguel Lopez,0.0,0.0
Voher:Nina BaltromeiRene Koplik,0.0,0.0
Voher:Nina BaltromeiSara Horcajada Bermudez,0.0,0.0
Voher:Nina BaltromeiSean Byrne,0.0,0.0
Voher:Oisin MurphyLilli-Marie Engels,0.0,0.0
Voher:Pablo WerderRobin Weber,0.0,0.0
Voher:Patrick GibsonAnna van den Troost,0.0,0.0
Voher:Patrick GibsonMiguel Lopez,0.0,0.0
Voher:Patrick GibsonMirko Sanna,0.0,0.0
Voher:Pavlina KasparovaElodie Marie Palau Teruel,0.0,0.0
Voher:Rene KoplikSean Byrne,0.0,0.0
Voher:Rene KoplikSimona Laubeova,0.0,0.0
Voher:Rene KoplikWladimir Panov,0.0,0.0
Voher:Rene PiechulekHugo Boutin,0.0,0.0
Voher:Rene PiechulekLeon Wolff,0.0,0.0
Voher:Rene PiechulekMichal Abik,0.0,0.0
Voher:Robert HavlinBauyrzhan Murzabayev,0.0,0.0
Voher:Robin WeberAlexander Pietsch,0.0,0.0
Voher:Robin WeberAlexander Weis,0.0,0.0
Voher:Robin WeberAnna van den Troost,0.0,0.0
Voher:Robin WeberBenjamin Marie,0.0,0.0
Voher:Salvatore Di PaolaSelina Torres-Wengemuth,0.0,0.0
Voher:Sarah WinkelerKonstantin Phillip,0.0,0.0
Voher:Sean ByrneAndrea Ricupa,0.0,0.0
Voher:Sean ByrneAnna van den Troost,0.0,0.0
Voher:Sean ByrneBenjamin Marie,0.0,0.0
Voher:Wladimir PanovWladimir Psnov,0.0,0.0
Voher:e. WeißmeierEsther Ruth Weißmeier,0.0,0.0
Jakub Kocman,0.0,0.0
James Doyle,0.0,0.0
James Peter Spencer,0.0,0.0
Jan Kovar,0.0,0.0
Jeremy Moisan,0.0,0.0
Voher:Sean ByrneCecila Müller,0.0,0.0
Voher:Sean ByrneEduardo Pedroza,0.0,0.0
Voher:Sean ByrneElodie Marie Palau Teruel,0.0,0.0
Voher:Sean ByrneEsentur Turganaaly Uulu,0.0,0.0
Voher:Senan MacredmondMartin Seidl,0.0,0.0
Voher:Senan MacredmondMichaela Malakova,0.0,0.0
Voher:Shuichi TerachiErhan Yavuz,0.0,0.0
Voher:Sibylle VogtBayarsaikhan Ganbat,0.0,0.0
Voher:Sibylle VogtJozef Bojko,0.0,0.0
Voher:Sibylle VogtMirko Sanna,0.0,0.0
Voher:Sibylle VogtPatrick Gibson,0.0,0.0
Voher:Sibylle VogtRene Piechulek,0.0,0.0
Voher:Sibylle VogtWladimir Panov,0.0,0.0
Voher:Silke BrüggemannAnna v.d. Troost,0.0,0.0
Voher:Silke BrüggemannLeon Wolff,0.0,0.0
Voher:Sina SchmidtJozef Bojko,0.0,0.0
Voher:Sina SchmidtMarie Gast,0.0,0.0
Voher:Sofie Hammer-HansenJulian Sixt,0.0,0.0
Voher:Teagan PadgettMarissa Potters,0.0,0.0
Voher:Tereza JedlickovaRobin Weber,0.0,0.0
Voher:Tereza JedlickovaSimona Laubeova,0.0,0.0
Voher:Tereza PolesnaHakim Tabet,0.0,0.0
Voher:Thore Hammer-HansenAnna van den Troost,0.0,0.0
Voher:Thore Hammer-HansenEsentur Turganaaly Uulu,0.0,0.0
Voher:Thore Hammer-HansenJosef Bojko,0.0,0.0
Voher:Thore Hammer-HansenMichal Abik,0.0,0.0
Voher:Tomas RomanAdam Florian,0.0,0.0
