trainer,trainer_starts,trainer_siegrate
Laura M Dams,3.0,0.0
A. Fabre,2.0,0.0
B Hellier,2.0,0.0
T. Bokori,2.0,0.0
Tamas Bokori,2.0,0.0
Tim Hendriks,2.0,0.0
A. Baum,2.0,0.0
Yann Barberot,2.0,0.5
A. Rulec,2.0,0.0
Toni Potters,2.0,0.5
Rosen Naskov,2.0,0.0
Kim-Lynn Nakelski,2.0,0.0
S Moller,2.0,0.0
Roy N J Van Eck,2.0,0.0
K. Lanslots/Belgien,2.0,0.0
Caroline Pietsch,2.0,0.0
Bernd Schrödl,2.0,0.0
M Beer,2.0,0.0
Sebastian Wenz,2.0,0.0
J. Verstrepen/Belgien,2.0,0.0
John David Hillis,2.0,0.0
Jan M Snackers,2.0,0.5
John H. Smith,2.0,0.0
St Schondorf,2.0,0.0
St Rank,2.0,0.0
Jorrit Mehl,2.0,0.0
Andreas Scharer,2.0,0.0
J. Patrick O'Brien,2.0,0.5
J Seidl,2.0,0.0
Sarah Pötschke,2.0,0.0
Satoshi Kobayashi,2.0,0.0
B. Malkova,2.0,0.0
S. Myskova,2.0,0.0
Andreas Helfenbein,2.0,0.0
R V D Troost,2.0,0.0
Christian Zschache,2.0,0.0
Lubos Urbanek,2.0,0.0
Luke W Comer Jun,2.0,0.0
Claus Thomas,2.0,0.0
D Postema,2.0,0.0
George Scott,2.0,0.0
Frederic Mehl,2.0,0.0
M Schu,2.0,0.0
Peter G.M. Verberkt,2.0,0.0
R Mozola,2.0,0.0
G Snijders,2.0,0.0
G. Hernon,2.0,0.0
Pal Csontos,2.0,0.5
Gijs C.P. Snijders/Niederlande,2.0,0.0
D. Oost,2.0,0.0
P Van De Weijer,2.0,0.0
Oliver Karl Rudolph,2.0,0.0
F. Rohaut,2.0,0.0
F. Chappet,2.0,0.5
N. Minner/Belgien,2.0,0.0
Manfred Weber,2.0,0.0
N Volz-Degel,2.0,0.5
Martin Schu,2.0,0.5
Vc Wilde,2.0,0.0
Monika Potters,2.0,0.0
Miroslav Rulec,2.0,0.5
V Muller,2.0,0.0
