horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
Sea Angel,4,0.0,0.0,2024-07-27
My Flying Heart,1,0.0,0.0,2024-07-27
Queen of the Sky,2,0.0,0.0,2024-07-27
Everstorm,0,0.0,0.0,2024-07-27
Gondano,2,0.0,0.0,2024-07-27
Flashy Arrow,4,0.0,0.0,2024-07-27
Chimera,4,0.0,0.0,2024-07-27
Kisana Bere,6,0.0,0.0,2024-07-27
Chakira,3,0.0,0.0,2024-07-27
Havana Ball,1,1.0,1.0,2024-07-28
Waldfrieda,3,0.0,0.0,2024-07-28
Mademoiselle Ninet,3,1.0,0.3333333333333333,2024-07-28
Waria,4,1.0,0.25,2024-07-28
Paris Mon Amour,6,2.0,0.3333333333333333,2024-07-28
Tante Tilly,3,1.0,0.3333333333333333,2024-07-28
Mina De Oro,0,0.0,0.0,2024-07-28
Vilaflor,5,0.0,0.0,2024-07-28
Ma Petite Amie,3,1.0,0.3333333333333333,2024-07-28
El Konsti,0,0.0,0.0,2024-07-28
Saba Queen,5,0.0,0.0,2024-07-28
Beatthebullet,0,0.0,0.0,2024-07-28
Naruto,1,0.0,0.0,2024-07-28
Noble Luno,1,0.0,0.0,2024-08-03
James Blond,1,0.0,0.0,2024-08-03
Nordminster,3,0.0,0.0,2024-08-04
Hennezis,0,0.0,0.0,2024-08-04
Lovely Lena,4,0.0,0.0,2024-08-04
Crescendu,1,0.0,0.0,2024-08-04
Blue Legend,4,0.0,0.0,2024-08-04
Arcandi,3,2.0,0.6666666666666666,2024-08-04
Nina's Lob,2,1.0,0.5,2024-08-04
Molten Rock,0,0.0,0.0,2024-08-04
Darnation,1,1.0,1.0,2024-08-04
Bubble Gum,0,0.0,0.0,2024-08-04
Lady Mary,4,0.0,0.0,2024-08-04
Je Zous,0,0.0,0.0,2024-08-04
Lingua Franca,2,1.0,0.5,2024-08-04
Balzane Deux,1,0.0,0.0,2024-08-04
Lips Freedom,5,0.0,0.0,2024-08-04
Aram,3,2.0,0.6666666666666666,2024-08-04
Super Buddy,2,1.0,0.5,2024-08-09
Bonheur Bleu,0,0.0,0.0,2024-08-09
Juna Light,1,0.0,0.0,2024-08-10
Queen Of Cartes,2,0.0,0.0,2024-08-10
Kamo,4,0.0,0.0,2024-08-10
Quannah,0,0.0,0.0,2024-08-10
Wahiba Sands,0,0.0,0.0,2024-08-10
Moonara,0,0.0,0.0,2024-08-11
Dream Whisper,0,0.0,0.0,2024-08-11
Lotterbov,4,0.0,0.0,2024-08-11
Natural Gift,0,0.0,0.0,2024-08-11
Mountain Song,0,0.0,0.0,2024-08-11
Alisto King,0,0.0,0.0,2024-08-11
Altista,3,0.0,0.0,2024-08-11
Al Riffa,0,0.0,0.0,2024-08-11
Best of Lips,3,1.0,0.3333333333333333,2024-08-11
King Of Conquest,0,0.0,0.0,2024-08-11
Avorio,3,0.0,0.0,2024-08-16
Bearcardi,7,1.0,0.14285714285714285,2024-08-16
Flame d'Amour,2,0.0,0.0,2024-08-16
Patty Patch,4,0.0,0.0,2024-08-16
Silvretta,3,0.0,0.0,2024-08-16
Faney Vom Hofgut Rezenhöhe,0,0.0,0.0,2024-08-16
Flagari,0,0.0,0.0,2024-08-16
Nal fra Horni,0,0.0,0.0,2024-08-16
Smillia vom Ruwerbach,0,0.0,0.0,2024-08-16
Urour fra Hjaroartuni,0,0.0,0.0,2024-08-16
Demolish,2,0.0,0.0,2024-08-16
Star's of Pride,1,0.0,0.0,2024-08-16
Bjalla von den Uhlen,0,0.0,0.0,2024-08-16
Kjarkur fra Manaskal,0,0.0,0.0,2024-08-16
Blaeja vom Hofgut Retzenhöhe,0,0.0,0.0,2024-08-16
Vördur fra Fellskoti,0,0.0,0.0,2024-08-16
Vikingur fra Argeroi,0,0.0,0.0,2024-08-16
Happy Valentine,0,0.0,0.0,2024-08-17
New Hope,4,0.0,0.0,2024-08-17
Jazzy Socks,6,0.0,0.0,2024-08-17
Ombra,4,0.0,0.0,2024-08-17
Samba King,8,0.0,0.0,2024-08-17
Clever One,3,0.0,0.0,2024-08-18
Red Blue,1,0.0,0.0,2024-08-18
Russian Ranger,0,0.0,0.0,2024-08-18
Sukiyo,1,0.0,0.0,2024-08-18
Wonderful Feeling,0,0.0,0.0,2024-08-18
Gambia Sun,1,0.0,0.0,2024-08-18
Meerschwalbe,2,0.0,0.0,2024-08-18
See Paris,5,1.0,0.2,2024-08-18
Upright,2,0.0,0.0,2024-08-24
Anton von Marlow (H),6,0.0,0.0,2024-08-24
Emeralda,5,0.0,0.0,2024-08-24
Vintage Brand,0,0.0,0.0,2024-08-24
Campbell,1,0.0,0.0,2024-08-24
Heidi High,4,0.0,0.0,2024-08-24
Sun at work,3,0.0,0.0,2024-08-24
French Conte,4,3.0,0.75,2024-08-24
Amneris,0,0.0,0.0,2024-08-24
Mont De Soleil,0,0.0,0.0,2024-08-24
Downtown,5,1.0,0.2,2024-08-24
Napolitano,4,1.0,0.25,2024-08-24
Lahzar Star,5,2.0,0.4,2024-08-24
Heyne's Henry,6,0.0,0.0,2024-08-24
Talasar,3,0.0,0.0,2024-08-25
Kiss me Honey,3,1.0,0.3333333333333333,2024-08-25
Felippo,5,1.0,0.2,2024-08-25
Jacksun,5,0.0,0.0,2024-08-25
Bombastic,5,2.0,0.4,2024-08-25
Lightning Lara,0,0.0,0.0,2024-08-25
Tuari,0,0.0,0.0,2024-08-25
Skathi,0,0.0,0.0,2024-08-25
Noisy Night,0,0.0,0.0,2024-08-25
Purest Time,0,0.0,0.0,2024-08-25
Worth Choice,0,0.0,0.0,2024-08-25
Al Shabab Storm,0,0.0,0.0,2024-08-25
Knock On,0,0.0,0.0,2024-08-25
Diana,1,0.0,0.0,2024-08-25
Upping The Anti,3,1.0,0.3333333333333333,2024-08-25
Flying,3,0.0,0.0,2024-08-25
Amasova,5,0.0,0.0,2024-08-25
Lucky Punch,1,0.0,0.0,2024-08-25
Anonymous,0,0.0,0.0,2024-08-25
Pinola,0,0.0,0.0,2024-08-28
Abacco,3,0.0,0.0,2024-08-28
Vintage Valley,4,1.0,0.25,2024-08-28
Bubble Sign,0,0.0,0.0,2024-08-28
Extrabunt,3,0.0,0.0,2024-08-28
Strong Impact,0,0.0,0.0,2024-08-28
Magical Hope,0,0.0,0.0,2024-08-28
Assertively,0,0.0,0.0,2024-08-28
Balzarini,0,0.0,0.0,2024-08-28
Supido,0,0.0,0.0,2024-08-28
Dormio,1,0.0,0.0,2024-08-28
Wirrwarr,1,0.0,0.0,2024-08-28
Argentum,3,1.0,0.3333333333333333,2024-08-28
Koelle,6,0.0,0.0,2024-08-28
Tuppes,2,0.0,0.0,2024-08-28
Enjoy The Moon,3,0.0,0.0,2024-08-28
Dirvana,2,0.0,0.0,2024-08-28
Raquelle,3,0.0,0.0,2024-08-28
Kitzbühel,2,0.0,0.0,2024-08-31
Little Earl,3,0.0,0.0,2024-08-31
Morcote,0,0.0,0.0,2024-08-31
Siyouchka,0,0.0,0.0,2024-08-31
Wild Perfection,4,0.0,0.0,2024-08-31
Pacifica,4,0.0,0.0,2024-08-31
Panarea,0,0.0,0.0,2024-08-31
Roaa,2,1.0,0.5,2024-08-31
Topanga,0,0.0,0.0,2024-08-31
Tilda Romana,1,0.0,0.0,2024-08-31
Dias,4,0.0,0.0,2024-08-31
Lips Leo,0,0.0,0.0,2024-08-31
Murmillo,0,0.0,0.0,2024-08-31
Lmay,0,0.0,0.0,2024-08-31
Spirit of Dreams,2,0.0,0.0,2024-08-31
Ashana,3,1.0,0.3333333333333333,2024-08-31
Empore,4,0.0,0.0,2024-08-31
Weltreise,2,0.0,0.0,2024-08-31
True Tedesco,0,0.0,0.0,2024-08-31
Wilsons Ruby,0,0.0,0.0,2024-08-31
Vancouver,6,1.0,0.16666666666666666,2024-09-01
Gajetta,2,0.0,0.0,2024-09-01
Warelia,0,0.0,0.0,2024-09-01
Pericolo,6,2.0,0.3333333333333333,2024-09-01
Sommerblitz,2,1.0,0.5,2024-09-01
Elamaz,0,0.0,0.0,2024-09-01
Catch the Stars,1,0.0,0.0,2024-09-01
Fantastic Moon,3,1.0,0.3333333333333333,2024-09-01
Mr Hollywood,6,1.0,0.16666666666666666,2024-09-01
El Paso T (OX),0,0.0,0.0,2024-09-01
El Zarka D.A. (OX),0,0.0,0.0,2024-09-01
Freddy Py (OX),0,0.0,0.0,2024-09-01
Lightning Thunder (OX),0,0.0,0.0,2024-09-01
Merino,0,0.0,0.0,2024-09-01
The Donald,7,1.0,0.14285714285714285,2024-09-01
Liefland,3,1.0,0.3333333333333333,2024-09-01
Navare,3,0.0,0.0,2024-09-01
Mystic Walker,1,0.0,0.0,2024-09-06
Lombardei,0,0.0,0.0,2024-09-06
School Of Law,1,1.0,1.0,2024-09-06
Summer Storm,6,1.0,0.16666666666666666,2024-09-06
Madame Mystique,7,1.0,0.14285714285714285,2024-09-07
Aljadeed,3,1.0,0.3333333333333333,2024-09-07
Fritz Wonderlich,6,0.0,0.0,2024-09-07
Aim High,12,1.0,0.08333333333333333,2024-09-07
Jasmine For Joy,1,0.0,0.0,2024-09-07
Belaria,3,0.0,0.0,2024-09-07
Lizzy,2,0.0,0.0,2024-09-08
Sunny Star,9,1.0,0.1111111111111111,2024-09-08
Ballantines,1,0.0,0.0,2024-09-08
Way To Gain,6,1.0,0.16666666666666666,2024-09-08
Savigny,1,0.0,0.0,2024-09-08
Palace Party,4,0.0,0.0,2024-09-08
Glorious Island,3,0.0,0.0,2024-09-12
Phoebe,7,0.0,0.0,2024-09-12
Domenico,6,0.0,0.0,2024-09-12
Freak Out,0,0.0,0.0,2024-09-14
Scout,5,0.0,0.0,2024-09-14
A winning Queen,4,0.0,0.0,2024-09-14
Joubarbe,0,0.0,0.0,2024-09-15
Inaya,3,0.0,0.0,2024-09-15
Alessio,2,2.0,1.0,2024-09-15
Niagaro,2,1.0,0.5,2024-09-15
Prydwen,0,0.0,0.0,2024-09-15
Rose of Lips,6,1.0,0.16666666666666666,2024-09-15
Done Deal,0,0.0,0.0,2024-09-15
Go Daddy,0,0.0,0.0,2024-09-15
Senador,7,2.0,0.2857142857142857,2024-09-15
Golden Heart,6,0.0,0.0,2024-09-15
Ashianas King,4,1.0,0.25,2024-09-15
La Montespan,6,1.0,0.16666666666666666,2024-09-15
Sewra,1,0.0,0.0,2024-09-20
Wild Walk,0,0.0,0.0,2024-09-20
Fox Hunter,3,0.0,0.0,2024-09-20
Dallas Girl,3,0.0,0.0,2024-09-20
Petunie,1,0.0,0.0,2024-09-20
So Soon,5,0.0,0.0,2024-09-20
Anchorage,0,0.0,0.0,2024-09-20
Like Me,5,0.0,0.0,2024-09-20
Restructured,0,0.0,0.0,2024-09-20
Aladar Ari,3,1.0,0.3333333333333333,2024-09-20
Unwetter,8,1.0,0.125,2024-09-20
Ginette,6,0.0,0.0,2024-09-20
Love Me,9,0.0,0.0,2024-09-20
Magic carpet ride,5,0.0,0.0,2024-09-20
Amazing Blaze,0,0.0,0.0,2024-09-21
Bolshkinov,0,0.0,0.0,2024-09-21
Paradise Girl,8,2.0,0.25,2024-09-21
Norsk,4,0.0,0.0,2024-09-21
Tamar Valley,5,0.0,0.0,2024-09-21
Trip To Deauville,1,0.0,0.0,2024-09-21
Wyome,1,0.0,0.0,2024-09-21
Best Fire,1,0.0,0.0,2024-09-22
Wonder of the Seas,0,0.0,0.0,2024-09-22
Brady,5,0.0,0.0,2024-09-22
Magic Move,7,0.0,0.0,2024-09-22
Nox,3,0.0,0.0,2024-09-22
