horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
Any Moon,3.0,1.0,0.3333,2026-04-25
Any Moon,4.0,2.0,0.5,2026-05-25
Apitou,0.0,0.0,0.0,2026-05-23
Apocalyx,5.0,1.0,0.2,2026-04-25
Apocalyx,6.0,1.0,0.1667,2026-05-09
Apocalyx,7.0,1.0,0.1429,2026-05-31
Apocalyx,8.0,1.0,0.125,2026-06-07
Aquaman,2.0,1.0,0.5,2026-04-12
Arabia,0.0,0.0,0.0,2026-05-01
Arabia,1.0,0.0,0.0,2026-05-31
Arabico,5.0,1.0,0.2,2026-04-19
Arabico,6.0,1.0,0.1667,2026-05-25
Aral,10.0,1.0,0.1,2026-01-18
Aral,11.0,2.0,0.1818,2026-02-01
Aral,12.0,2.0,0.1667,2026-03-08
Aral,13.0,2.0,0.1538,2026-04-05
Aral,14.0,2.0,0.1429,2026-05-01
Arames,3.0,0.0,0.0,2026-01-04
Arames,4.0,0.0,0.0,2026-03-08
Arames,5.0,0.0,0.0,2026-04-18
Arames,6.0,1.0,0.1667,2026-05-01
Arames,7.0,1.0,0.1429,2026-05-24
Arames,8.0,2.0,0.25,2026-05-30
Aramis Al Gunay,0.0,0.0,0.0,2026-04-26
Aramis Al Gunay,1.0,0.0,0.0,2026-05-10
Arborea,0.0,0.0,0.0,2026-05-01
Arborea,1.0,1.0,1.0,2026-05-31
Archie,4.0,2.0,0.5,2026-04-19
Archie,5.0,3.0,0.6,2026-05-25
Arctica Spirit,6.0,1.0,0.1667,2026-03-28
Arctica Spirit,7.0,1.0,0.1429,2026-04-25
Arctica Spirit,8.0,1.0,0.125,2026-05-16
Arctica Spirit,9.0,1.0,0.1111,2026-05-31
Ardazita,8.0,1.0,0.125,2026-02-01
Arfan,2.0,0.0,0.0,2026-03-28
Arnis Master,2.0,0.0,0.0,2026-05-25
Artistic Mission,19.0,2.0,0.1053,2026-01-04
Artistic Mission,20.0,3.0,0.15,2026-01-18
Artistic Mission,21.0,4.0,0.1905,2026-02-22
Artistic Mission,22.0,5.0,0.2273,2026-03-08
Artistic Mission,23.0,6.0,0.2609,2026-04-26
Artistic Mission,24.0,6.0,0.25,2026-05-14
Artistic Mission,25.0,6.0,0.24,2026-06-04
Artistic Mission,26.0,6.0,0.2308,2026-06-07
Arturo,21.0,2.0,0.0952,2026-04-19
Arturo,22.0,2.0,0.0909,2026-05-23
Arturo,23.0,2.0,0.087,2026-06-04
Arturo,24.0,2.0,0.0833,2026-06-07
Arzys,4.0,1.0,0.25,2026-01-18
Arzys,5.0,1.0,0.2,2026-03-29
Arzys,6.0,1.0,0.1667,2026-05-08
Arzys,7.0,1.0,0.1429,2026-05-14
Arzys,8.0,1.0,0.125,2026-06-04
Asa Norte,0.0,0.0,0.0,2026-05-10
Asaaleeb,22.0,5.0,0.2273,2026-01-04
Asaaleeb,23.0,5.0,0.2174,2026-01-18
Asaaleeb,24.0,5.0,0.2083,2026-02-01
Asaaleeb,25.0,5.0,0.2,2026-03-08
Asaaleeb,26.0,5.0,0.1923,2026-03-29
Asaaleeb,27.0,5.0,0.1852,2026-04-25
Asaaleeb,28.0,5.0,0.1786,2026-05-10
Ashianas King,4.0,1.0,0.25,2026-03-28
Ashianas King,5.0,1.0,0.2,2026-05-14
Ashianas King,6.0,1.0,0.1667,2026-05-31
Askalon,0.0,0.0,0.0,2026-05-01
Askalon,1.0,0.0,0.0,2026-05-24
Asker,2.0,1.0,0.5,2026-03-22
Asker,3.0,1.0,0.3333,2026-04-26
Asker,4.0,2.0,0.5,2026-05-25
Aspen Belle,4.0,0.0,0.0,2026-04-19
Aster,12.0,3.0,0.25,2026-04-05
Aster,13.0,4.0,0.3077,2026-06-04
Asterix,13.0,2.0,0.1538,2026-05-10
Atlantic Seaboard,0.0,0.0,0.0,2026-04-05
Atlantic Seaboard,1.0,0.0,0.0,2026-05-01
Atoso,12.0,1.0,0.0833,2026-04-05
Atoso,13.0,1.0,0.0769,2026-06-07
Attention Rocket,12.0,1.0,0.0833,2026-05-17
Attention Rocket,13.0,1.0,0.0769,2026-06-07
Aurum,0.0,0.0,0.0,2026-05-01
Aurum Sky,17.0,4.0,0.2353,2026-01-04
Avanti Avana,12.0,0.0,0.0,2026-01-04
Aventura,4.0,0.0,0.0,2026-04-05
Aventura,5.0,0.0,0.0,2026-04-18
Aventura,6.0,0.0,0.0,2026-05-10
Ayada,6.0,1.0,0.1667,2026-04-05
Ayada,7.0,1.0,0.1429,2026-06-04
Ayres,2.0,0.0,0.0,2026-05-23
Ayres,3.0,0.0,0.0,2026-06-04
Azamastam,15.0,0.0,0.0,2026-02-01
Bacarda,8.0,2.0,0.25,2026-05-01
Bacarda,9.0,2.0,0.2222,2026-06-07
Backes,17.0,2.0,0.1176,2026-05-01
Backes,18.0,3.0,0.1667,2026-06-06
Bagello,4.0,0.0,0.0,2026-03-29
Bandida Estrellita,2.0,0.0,0.0,2026-05-23
Banshie,0.0,0.0,0.0,2026-04-26
Bavarian Princess,16.0,3.0,0.1875,2026-05-24
Beautiful Dawn,0.0,0.0,0.0,2026-01-04
Beautiful Dawn,1.0,0.0,0.0,2026-02-01
Beautiful Dawn,2.0,0.0,0.0,2026-05-14
Beautiful World,0.0,0.0,0.0,2026-05-01
Beautiful World,1.0,0.0,0.0,2026-05-25
Behruz,3.0,0.0,0.0,2026-04-19
Behruz,4.0,0.0,0.0,2026-05-31
Believe In Me,0.0,0.0,0.0,2026-04-25
Believe In Me,1.0,0.0,0.0,2026-05-24
Bella Sheila,2.0,0.0,0.0,2026-03-29
Bella Sheila,3.0,0.0,0.0,2026-04-19
Bella Sheila,4.0,0.0,0.0,2026-05-10
Bella Sinfonia,3.0,1.0,0.3333,2026-04-05
Bella Sinfonia,4.0,1.0,0.25,2026-05-14
Bellarose,3.0,0.0,0.0,2026-06-07
Bellino,15.0,1.0,0.0667,2026-01-18
Bellino,16.0,1.0,0.0625,2026-02-01
Bellino,17.0,1.0,0.0588,2026-02-22
Bellino,18.0,1.0,0.0556,2026-03-08
Bellino,19.0,1.0,0.0526,2026-03-29
Berrygate,2.0,0.0,0.0,2026-01-18
Berrygate,3.0,0.0,0.0,2026-02-01
Berrygate,4.0,0.0,0.0,2026-02-22
Berrygate,5.0,0.0,0.0,2026-03-08
Berrygate,6.0,0.0,0.0,2026-03-29
Berrygate,7.0,0.0,0.0,2026-04-26
Best Lightning,13.0,3.0,0.2308,2026-03-29
Best Lightning,14.0,4.0,0.2857,2026-04-12
Betty Ellen,1.0,0.0,0.0,2026-05-01
Betty Ellen,2.0,0.0,0.0,2026-05-24
Bi Bop,12.0,0.0,0.0,2026-04-19
Bi Bop,13.0,0.0,0.0,2026-05-23
Big Jack,1.0,0.0,0.0,2026-01-04
Big Jack,2.0,0.0,0.0,2026-05-30
Big Secret,14.0,5.0,0.3571,2026-05-01
Big Secret,15.0,5.0,0.3333,2026-05-25
Birnbaum Warrior,0.0,0.0,0.0,2026-05-03
Birnbaum Warrior,1.0,0.0,0.0,2026-05-25
Birthday Paradise,12.0,0.0,0.0,2026-03-08
Birthday Paradise,13.0,0.0,0.0,2026-05-14
Birthday Paradise,14.0,0.0,0.0,2026-06-06
Black Phantom,6.0,3.0,0.5,2026-04-06
Black Phantom,7.0,3.0,0.4286,2026-05-08
Black Phantom,8.0,3.0,0.375,2026-06-07
Blaze Of Glory,0.0,0.0,0.0,2026-05-25
Blitzding,2.0,0.0,0.0,2026-05-23
Blitzding,3.0,0.0,0.0,2026-06-04
Blue Ghost,1.0,0.0,0.0,2026-04-18
Blue Japan,0.0,0.0,0.0,2026-05-09
Blue Japan,1.0,0.0,0.0,2026-05-25
Blue Lips,3.0,2.0,0.6667,2026-04-06
Blue Lips,4.0,2.0,0.5,2026-05-01
Blue Lips,5.0,2.0,0.4,2026-05-31
Blue Martini,0.0,0.0,0.0,2026-05-16
Blue Ocean Dream,16.0,2.0,0.125,2026-04-26
Boherna Vista,6.0,0.0,0.0,2026-03-22
Boherna Vista,7.0,0.0,0.0,2026-03-29
Boherna Vista,8.0,0.0,0.0,2026-04-26
Boherna Vista,9.0,0.0,0.0,2026-05-09
Boherna Vista,10.0,0.0,0.0,2026-05-24
Boherna Vista,11.0,0.0,0.0,2026-06-06
Bombardino,21.0,0.0,0.0,2026-01-04
Bombardino,22.0,0.0,0.0,2026-05-01
Bombardino,23.0,0.0,0.0,2026-05-09
Bombardino,24.0,0.0,0.0,2026-05-30
Borcano,0.0,0.0,0.0,2026-05-25
Bowerchalke,0.0,0.0,0.0,2026-05-01
Boy Scout,5.0,0.0,0.0,2026-04-19
Boy Scout,6.0,0.0,0.0,2026-05-09
Boy Scout,7.0,0.0,0.0,2026-05-30
Brakeman,0.0,0.0,0.0,2026-04-26
Brakeman,1.0,1.0,1.0,2026-05-09
Brave Lion,0.0,0.0,0.0,2026-05-09
Brave Lion,1.0,0.0,0.0,2026-06-07
Braveheart,0.0,0.0,0.0,2026-05-09
Braveheart,1.0,0.0,0.0,2026-05-25
Bu Keqi,0.0,0.0,0.0,2026-05-09
Bu Keqi,1.0,0.0,0.0,2026-05-30
Buckleupbuttercup,0.0,0.0,0.0,2026-05-10
Buckleupbuttercup,1.0,0.0,0.0,2026-05-23
Bustopher Jones,7.0,1.0,0.1429,2026-01-04
Butter Road,4.0,0.0,0.0,2026-03-29
Butter Road,5.0,0.0,0.0,2026-04-26
Butter Road,6.0,0.0,0.0,2026-05-31
Cabot Cliffs,5.0,2.0,0.4,2026-05-14
Cahaya,4.0,0.0,0.0,2026-04-05
Cahaya,5.0,0.0,0.0,2026-05-01
Calamour,0.0,0.0,0.0,2026-04-19
Camarque,0.0,0.0,0.0,2026-05-23
Camarque,1.0,0.0,0.0,2026-06-04
Cardea,1.0,0.0,0.0,2026-05-17
Carlton Banks,16.0,1.0,0.0625,2026-05-08
Carlton Banks,17.0,1.0,0.0588,2026-05-31
Casall,18.0,3.0,0.1667,2026-02-22
Casall,19.0,3.0,0.1579,2026-04-06
Casall,20.0,3.0,0.15,2026-06-07
Catherine La Mer,0.0,0.0,0.0,2026-06-07
Caudry,0.0,0.0,0.0,2026-05-31
Celebrity Icon,3.0,0.0,0.0,2026-01-04
Celebrity Icon,4.0,0.0,0.0,2026-05-31
Celestial Star,5.0,1.0,0.2,2026-05-09
Centrical,0.0,0.0,0.0,2026-06-06
Chanel Gold,0.0,0.0,0.0,2026-05-16
Chapelhillhart,0.0,0.0,0.0,2026-05-09
Chapelhillhart,1.0,0.0,0.0,2026-05-25
Chapelhillhart,2.0,0.0,0.0,2026-06-07
Charleston,0.0,0.0,0.0,2026-03-22
Charleston,1.0,0.0,0.0,2026-04-26
Charleston,2.0,0.0,0.0,2026-05-24
Charlie Brown,20.0,1.0,0.05,2026-03-29
Charlie Brown,21.0,1.0,0.0476,2026-04-25
Charlie Brown,22.0,2.0,0.0909,2026-06-06
Charlotte's Luck,0.0,0.0,0.0,2026-01-18
Charming Lady,17.0,0.0,0.0,2026-01-04
Charming Lady,18.0,0.0,0.0,2026-01-18
Charming Lady,19.0,1.0,0.0526,2026-02-01
Charming Lady,20.0,1.0,0.05,2026-04-18
Charming Lady,21.0,2.0,0.0952,2026-05-09
Charming Lady,22.0,2.0,0.0909,2026-05-25
Chiefland,0.0,0.0,0.0,2026-04-12
Chiefland,1.0,0.0,0.0,2026-05-31
Chilada,0.0,0.0,0.0,2026-05-01
