jockey,jockey_starts,jockey_siegrate
Filip Hellebrand,2,0.0
Nathan Crosse,0,0.0
Ulan Kozhomkulov,62,0.12903225806451613
Alberto Sanna,2,0.0
Frida Valle-Skar,0,0.0
Thomas Trullier,0,0.0
Voher:Ioritz MendizabalMichal Abik,0,0.0
Sophie Tison,0,0.0
Kirsten Pottle,1,0.0
Sergej Vasyutov,0,0.0
Jacob Johansen,0,0.0
Voher:Sean ByrneCecila Müller,0,0.0
Voher:Sina SchmidtJozef Bojko,0,0.0
Ioritz Mendizabal,4,0.25
Robin Haedens,10,0.0
Voher:Sina SchmidtMarie Gast,0,0.0
Berit Weber,3,0.0
Voher:Sean ByrneAndrea Ricupa,0,0.0
Voher:Sean ByrneEduardo Pedroza,0,0.0
Voher:Sean ByrneMichal Abik,1,0.0
Voher:Luke MorrisBertrand Flandrin,0,0.0
Sofie Hammer-Hansen,6,0.0
Voher:Ulan KozhomkulovElisabeth Stahlhut,0,0.0
Jenny Langhard,8,0.0
Voher:Sean ByrneBenjamin Marie,0,0.0
Voher:Sean ByrneRene Piechulek,2,0.5
Voher:Nina BaltromeiEduardo Pedroza,1,0.0
Shuichi Terachi,47,0.10638297872340426
Voher:Tomas RomanMartin Seidl,0,0.0
Fabrice Veron,3,0.0
Jan Havlik,1,0.0
Julia Gruschka,0,0.0
Andrew Breslin,13,0.15384615384615385
Voher:Andrew BreslinThore Hammer-Hansen,0,0.0
Voher:Tomas RomanAdam Florian,0,0.0
Voher:Eduardo PedrozaLeon Wolff,0,0.0
Matthew-Sebastian Johnson,12,0.16666666666666666
Voher:Anna van den TroostLilli-Marie Engels,0,0.0
Voher:Tomas RomanJozef Bojko,1,0.0
Noemi Pulcini,1,0.0
Teagan Padgett,0,0.0
Guillaume Trolley De Prevaux,2,0.0
Oliver d'Andigne,0,0.0
Voher:Senan MacredmondNina Baltromei,1,0.0
Saskia Müller,10,0.0
Cecila Müller,10,0.0
Elisabeth Stahlhut,31,0.16129032258064516
Bolot Kalysbek Uulu,27,0.037037037037037035
Szczepan Mazur,0,0.0
Sandro De Paiva,8,0.0
Voher:Thore Hammer-HansenEsentur Turganaaly Uulu,0,0.0
Janice Gecergün,6,0.0
Romain Lemiere,0,0.0
Ellie Holder,0,0.0
Josef Bartos,2,0.0
Jan Faltejsek,1,0.0
Lenka Neprasova,1,0.0
Voher:Tomas RomanAndrasch Starke,0,0.0
Voher:Tomas RomanMichael Cadeddu,0,0.0
Voher:Tomas RomanDavid Liska,1,0.0
James Doyle,0,0.0
Sean M. Levey,0,0.0
Ronan P. Whelan,0,0.0
Alexis Pouchin,2,0.0
Oisin Murphy,2,0.0
Voher:Rene PiechulekHugo Boutin,0,0.0
Voher:Rene PiechulekThore Hammer-Hansen,1,0.0
Sina-Kristin Müller,4,0.0
Voher:Mirko SannaBayarsaikhan Ganbat,0,0.0
Voher:Lilli-Marie EngelsMirko Sanna,0,0.0
Voher:Pablo WerderRobin Weber,0,0.0
Esra von Kornatzki,0,0.0
Eliska Fialkova,28,0.03571428571428571
Ryan-Lee Moore,0,0.0
Voher:Lukas DelozierEsther Ruth Weißmeier,0,0.0
Voher:Lukas DelozierDavid Liska,0,0.0
Mustafa Manav,5,0.0
Carmen Huber,0,0.0
Claudia Pledl,4,0.0
Andrea Schneider,0,0.0
Peter Pozar/Slowenien,0,0.0
Corentin Berge,71,0.08450704225352113
Elione Chaves,0,0.0
Voher:Hugo BoutinLuke Morris,0,0.0
Voher:Hugo BoutinCorentin Berge,0,0.0
Billy Loughnane,5,0.2
Voher:Jack MitchellAdrie de Vries,0,0.0
Eva Buriankova,0,0.0
Voher:Robin WeberAlexander Pietsch,0,0.0
Voher:Sean ByrneEsentur Turganaaly Uulu,0,0.0
Voher:Tomas RomanMiguel Lopez,1,0.0
Voher:Tomas RomanMichal Abik,0,0.0
Carlos Lopez,3,0.3333333333333333
Lukas Delozier,38,0.13157894736842105
Clifford Lee,3,0.0
Faleh Bughenaim,3,0.0
Voher:Bayarsaikhan GanbatStefanie Koyuncu,0,0.0
Voher:Lilli-Marie EngelsWladimir Panov,0,0.0
Malone Favriaux,0,0.0
Leo Roussel,0,0.0
Voher:Lilli-Marie EngelsAnna van den Troost,1,0.0
Esther Ruth Weißmeier,53,0.07547169811320754
Callum Hutchinson,0,0.0
Anthony Crastus,1,0.0
Voher:Lukas DelozierThore Hammer-Hansen,0,0.0
Julien-L. Guillochon,2,0.0
Theo Bachelot,2,0.5
Jeremy Moisan,0,0.0
Voher:Lukas DelozierClement Lecoeuvre,0,0.0
Voher:Cristian DemuroDavid Liska,0,0.0
Tom Marquand,2,0.0
Celine Johne,29,0.06896551724137931
Judit Dickinson,2,0.0
Tereza Grbavcicova,5,0.0
Voher:Teagan PadgettMarissa Potters,0,0.0
Voher:Michal AbikEduardo Pedroza,0,0.0
Rens P. Verberkt,6,0.0
Lize Ghys-Dieteren,6,0.16666666666666666
Pavlina Kasparova,14,0.14285714285714285
Tomas Roman,191,0.12041884816753927
Voher:Matthew Sebastian JohnsonThore Hammer-Hansen,0,0.0
Voher:Matthew Sebastian JohnsonDavid Liska,0,0.0
Voher:Vanesa CsernakJose Luis Silverio,0,0.0
Voher:Robin WeberBenjamin Marie,0,0.0
Clement Lecoeuvre,9,0.1111111111111111
Voher:Patrick GibsonMiguel Lopez,0,0.0
Josef Borc,0,0.0
Natalie Flenerova,7,0.0
Enzo Corallo,2,0.0
Roy N.J.van Eck,7,0.0
Ronja Genzmer,0,0.0
Niazi Ismail,8,0.125
Robert Havlin,0,0.0
Augustin Madamet,9,0.0
Mickael Barzalona,2,0.0
Fabian Xaver Weißmeier,1,1.0
Antonia von der Recke,26,0.07692307692307693
Selina Spurk,1,0.0
Amina Mathony,0,0.0
Eva Maria Herresthal,0,0.0
Emrah Kurdu,1,0.0
Pavel Bradik,4,0.0
Rostislav Bens,2,0.0
Robin Weber,131,0.15267175572519084
Voher:Robin WeberAlexander Weis,0,0.0
Voher:Robin WeberAnna van den Troost,0,0.0
Jose Luis Silverio,43,0.06976744186046512
Voher:Nina BaltromeiDavid Liska,0,0.0
